image,image_source,ocr_method,country_pred,country_true,country_exact,country_fuzzy,country_status,material_pred,material_true,material_exact,material_fuzzy,material_status,care_pred,care_true,care_exact,care_fuzzy,care_status,ocr_confidence,full_text,error_score
IMG_8702.JPG,cropped,original,Cambodia,cambodia,True,1.0,exact_match,"72% NYLON 28% SPANDEX
FRONT 88% NYLON 12% SPANDEX
BACK 72% NYLON 28% SPANDEX

REMOVE","72% nylon, 28% spandex",False,0.4,mismatch,WASHING MACHINE WASH COLD SEPARATELY GENTLE CYCLE ONLY NON-CHLORINE BLEACH IF NEEDED TUMBLE DRY LOW COOLIRON IF NEEDED,remove pads before washing. machine wash cold separately. gentle cycle only non-chlorine bleach if needed. tumble dry low. remove promptly. cool iron if needed,False,0.851985559566787,partial_match,94.08510638297872,"Made in Cambodia
Hecho en Camboya

BODY:
72% NYLON /
28% SPANDEX
FRONT LINING:
88% NYLON /
12% SPANDEX
BACK LINING:
72% NYLON /
28% SPANDEX

REMOVE PADS
BEFORE WASHING
MACHINE WASH
COLD SEPARATELY
GENTLE CYCLE
ONLY
NON-CHLORINE
BLEACH IF NEEDED
TUMBLE DRY LOW
COOLIRON IF
NEEDED
",0.748014440433213
tag_6.JPG,original,preprocessed,,India,False,0.0,prediction_failed,,100% Cotton,False,0.0,prediction_failed,,"machine wash cold with like colors, non-chlorine bleach only, tumble dry low, iron on lowest setting",False,0.0,prediction_failed,31.545893719806763,"ee .yt
vps
""ety ‘ fens ‘ i
Oy wh Nyt : { key { He
i AERA vey
(EEE nh Sel vg
ety OM, po
SR
Sey aete ee SO

ates cit:
oery

“6
abe an
é AE i este :
eee aes ‘ ri
rm ad a: ied eal) s.
Sere Set Pee EL

Se ERER Sei tr gel Te , y-
i 17 4t i
Ne rvesrctec) dry
Pid ta PAA wey
t tr 4 ,
4

feere 1 . “ vee: !

ANE EE en seteah A, eng Wes; eee fas RRR ae ay
Pn gy ; ACS iy ange eine Fa quays °

Alaa vai NSS a tae HAS i Ps '

J iti? beet! et eT ‘
or ts AS Mase cee AVERT ea ees —
AK PS ""6 x 3 Popa cake 4s aa :
taeda FASS) q4 Qay: {: @! ro a henry ‘ ; :
Ps A aan toa . ‘ *

ee tpTsd a - seeye ecg tak Ly ;

$ yore 1? a Wy Years tie. mat ‘
CEES thes ah wed g ats *

",3.0
tag_4.JPG,original,preprocessed,,Guatemala,False,0.0,prediction_failed,,100% Cotton,False,0.0,prediction_failed,,not visible,False,0.0,prediction_failed,95.0,,3.0
IMG_8700.JPG,cropped,original,,not visible,False,0.0,prediction_failed,"91% RECYCLED POLYESTER 9% SPANDEX
MACHINE","91% recycled polyester, 9% spandex",False,0.88,partial_match,MACHINE WASH COLD WITH LIKE COLORS. GENTLE CYCLE. ONLY NON CHLORINE BLEACH IF NEEDED. TUMBLE DRY LOW. REMOVE PROMPTLY. COOL IRON IF NEEDED. DO NOT IRON ON LABEL. RN17730 VN1068795,machine wash cold with like colors. gentle cycle. only non-chlorine bleach if needed. tumble dry low. remove promptly. iron cool if needed. do not iron on label,False,0.9085545722713865,near_match,90.44444444444444,"91% RECYCLED POLYESTER / 9% SPANDEX
MACHINE WASH COLD WITH LIKE COLORS. GENTLE
CYCLE. ONLY NON CHLORINE BLEACH IF NEEDED.
TUMBLE DRY LOW. REMOVE PROMPTLY.

COOL IRON IF NEEDED. DO NOT IRON ON LABEL.
RN17730 VN1068795
",1.2114454277286137
IMG_8714.JPG,cropped,original,,not visible,False,0.0,prediction_failed,"100% NYLON

LINING 100% RECYCLED POLYESTER 100% RECYCLED POLYESTER","100% nylon, 100% recycled polyester",False,0.68,mismatch,MACHINE WASH COLD WITH LIKE COLORS. GENTLE CYCLE. ONLY NON-CHLORINE BLEACH IF NEEDED. _ TUMBLE DRY LOW. REMOVE PROMPTLY. DO NOT IRON. | DO NOT DRY CLEAN. 2,machine wash cold with like colors. gentle cycle. only non-chlorine bleach if needed. tumble dry low. remove promptly. do not iron. do not dry clean.,False,0.976897689768977,near_match,88.5952380952381,"SHELL: 100% NYLON

LINING: 100% RECYCLED POLYESTER

FILLING: 100% RECYCLED POLYESTER

MACHINE WASH COLD WITH LIKE COLORS. GENTLE
CYCLE. ONLY NON-CHLORINE BLEACH IF NEEDED.
_ TUMBLE DRY LOW. REMOVE PROMPTLY. DO NOT IRON.

| DO NOT DRY CLEAN. 2

",1.3431023102310229
tag_5.JPG,cropped,original,,Vietnam,False,0.0,prediction_failed,,not visible,False,0.0,prediction_failed,"DO NOT AY i ORY FLAT, Ne eA JAVELISER, SECHER A PLAT, some KAGE DOUX SI A NECESSAIRE, OU NETTOYER SEC","Machine wash cold with like colours, do not bleach, dry flat, cool iron only if needed, or dry clean",False,0.3283582089552239,mismatch,70.15384615384616,"saacaenee wast COLD WITH LIKE
COLOURS, DO NOT AY i
ORY FLAT, Ne eA
LAVER A LA MACHINE A LTEAU
FROIDE AVEC COULEURS
SEMBLABLES, NE PAS
JAVELISER, SECHER A PLAT,

some KAGE DOUX SI A
NECESSAIRE, OU NETTOYER
SEC
",2.671641791044776
tag_1.JPG,cropped,preprocessed,,Guatemala,False,0.0,prediction_failed,,100% Cotton,False,0.0,prediction_failed,,not visible,False,0.0,prediction_failed,38.48623853211009,"— — = ae Sa -OS= = ——S
[mae a —— pany re 3 mae’ ; — :
: = — _ me - =
A , — — : 7 eer => ~- oS ee
= eT Ce = :
a,
= a 7 : =
: _—- 3 3 :
oar Sh eee 7 =
ae Ny es eerie <= = 2: =
— —, nner _f <n : +. ee 3 I : = —— rong ee i low. eae ae
€ — = == — — —, eo
Sears * a : = Se : =
a 7 : = =
Te z = Z
eo ‘ee we ee —— re
: 4
z en
: = ATS =
: —_ $
———- = — —- =

oe. =, —— ~* = a — os _—, — —
= Rae — =- == = en ae =
: :
— = ee
—w #.
eo > - => —w
= 3
a, es 5 et ces :
od
SSE
: = —* G4 o
9 =
ee . ae to
Ln
ors aed

er —
—— —
—
: —,
ee
_*
—
ne”
—,

==
== a
a | oe
: a ee
F at ona
ri

",3.0
IMG_8710.JPG,cropped,original,,cambodia,False,0.0,prediction_failed,"91% RECYCLED
POLYESTER 8% WOOL 1% SPANDEX
RN","91% recycled polyester, 8% wool, 1% spandex",False,0.9425287356321839,near_match,,not visible,False,0.0,prediction_failed,88.21428571428571,"91% RECYCLED
POLYESTER/POLIESTER
RECICLADO
8% WOOL/LANA
1% SPANDEX
RN17730
¥N1989869

MADE IN CAMBODIA /
",2.057471264367816
IMG_8705.JPG,cropped,original,Cambodia,Cambodia,True,1.0,exact_match,"93% LYOCELL 7% SPANDEX
EXCLUSIVE","93% lyocell, 7% spandex",False,0.8,partial_match,MACHINE WASH COLD SEPARATELY GENTLE CYCLE ONLY NON-CHLORINE BLEACH IF NEEDED TUMBLE DRY LOW REMOVE PROM COOL IRON IF NEEDED,machine wash cold sepearately gentle cycle only non-chlorine bleach if needed tumble dry low remove promptly cool iron if needed,False,0.9800796812749004,near_match,93.97058823529412,"Made in Cambodia
Hecho en Camboya

93% LYOCELL /
7% SPANDEX
EXCLUSIVE OF
DECORATION

MACHINE WASH
COLD SEPARATELY
GENTLE CYCLE
ONLY
NON-CHLORINE
BLEACH IF NEEDED
TUMBLE DRY LOW

REMOVE PROM
COOL IRON IF
NEEDED
",0.21992031872509954
IMG_8711.JPG,cropped,original,,not visible,False,0.0,prediction_failed,100% COTTON 6% RECYCLED COTTON,100% cotton,False,0.5365853658536586,mismatch,MACHINE WASH COLD SEPARATELY. GENT ONLY NON-CHLORINE BLEACH IF NEEDED?” TUM DRY LOW. REMOVE PROMPTLY. WARM IRON IF NEEDED.,machine wash cold seperately. gentle cycle. only non-chlorine bleach if needed. tumble dry low. remove promptly. warm iron if needed,False,0.932806324110672,near_match,81.6,"100% COTTON (6% RECYCLED COTTON)
iE CYCLE
BLE

EXCLUSIVE OF DECORATION
MACHINE WASH COLD SEPARATELY. GENT

ONLY NON-CHLORINE BLEACH IF NEEDED?” TUM
DRY LOW. REMOVE PROMPTLY. WARM IRON IF

NEEDED.
",1.5306083100356696
tag_2.JPG,cropped,original,,Guatemala,False,0.0,prediction_failed,,100% Cotton,False,0.0,prediction_failed,,not visible,False,0.0,prediction_failed,35.60909090909091,"WN,
nh

é

We

1s t
’
4 yy
ua
Wy tid

qu
ergest

y)

= Boo
a eee

i re] Wit
Vall
, A at
plitelel |
ay tear
i ty
jpiy ee
i? ,
9)

Hecho

\ ;
|
\
)
}
|
|
:
|

any
ty
‘

|

}

ttoniCot

\
1
j

\

|
on .
7,

ve

}
. |
)
Pa rereree
O09
. shat

}
}
'

\

,
)

ote a =
ae aq Z -
comet See oe
a? 4 . :
2S hype Pen 3 bee Phe
fy qt. Pee oe ie on™

",3.0
IMG_8707.JPG,cropped,original,"CAMBODIA
en gg BROKAVA",cambodia,False,0.5333333333333333,mismatch,"90% COTTON 40% SPANDEXISPANDEX

EXCLUSIVE","90% cotton, 10% spandex",False,0.6666666666666666,mismatch,,not visible,False,0.0,prediction_failed,46.608695652173914,"90% COTTON/ALGODON
40% SPANDEXISPANDEX

EXCLUSIVE OF DECORATION
NO INCLUYE LA DECORACION

Pv a ete Ed
tea ""9 are an
‘ 4
ayvure yf .
' eth
retcuet
,
5 soar Oy
' t , oa
. A ays

MADE IN CAMBODIA
en gg BROKAVA

",1.8
